代號,名稱,產業鏈代碼,產業鏈名稱,位置,子分類,上游公司,下游公司
2324,仁寶,F000,電腦及週邊設備,下游,工業電腦;其他電腦及週邊設備;筆記型電腦;伺服器,2388|威盛;3709|鑫聯大投控;8096|擎亞;AMD|超微半導體;INTC|英特爾;6189|豐藝;6233|旺玖;NVDA|輝達;2459|敦吉;3038|全台;5315|光聯;6167|久正;000725.SZ|京東方;034220.KS|LG顯示;005930.KS|三星電子;005930.KS|三星顯示;2376|技嘉;3024|憶聲;3516|亞帝歐;5386|青雲,
2324,仁寶,I000,通信網路,下游,網路設備;無線通訊設備,2459|敦吉;3169|亞信;6470|宇智;8096|擎亞;7661|皓德盛科技;INTC|英特爾;005930.KS|三星電子;QCOM|高通;2344|華邦電;2408|南亞科;3260|威剛;4973|廣穎電通;8084|巨虹;8088|品安;7866|丹立;7655|依得科;MU|美光;000660.KS|SK海力士;2466|冠西電;2476|鉅祥,
2324,仁寶,G000,平面顯示器,下游,電視,1711|永光;1717|長興;1773|勝一;3010|華立;4720|德淵;4722|國精化;4755|三福化;5234|達興材料;1785|光洋科;3663|鑫科;4749|新應材;4768|晶呈科技;4772|台特化;6959|兆捷科技;|東進;|ENEOS控股株式會社;|富士軟片;|JSR株式會社;MRK|默克集團;|三井金屬,
2330,台積電,D000,半導體,中游,IC/晶圓製造,2401|凌陽;3035|智原;3443|創意;5222|全訊;6533|晶心科;6695|芯鼎;3661|世芯-KY;3339|泰谷;3529|力旺;6423|億而得;6643|M31;8054|安國;8227|巨有科技;8299|群聯;6786|芯測;6842|瑞宇;7707|益芯科;7796|擷發科;ARM|安謀;CDNS|益華,2308|台達電;2360|致茂;2467|志聖;3030|德律;3055|蔚華科;3583|辛耘;4770|上品;6277|宏正;6438|迅得;6515|穎崴;6937|天虹;7631|聚賢研發-創;7730|暉盛-創;8070|長華*;1595|川寶;3093|港建*;3131|弘塑;3219|倚強科;3339|泰谷;3402|漢科
2347,聯強,D000,半導體,下游,IC通路,2401|凌陽;3035|智原;3443|創意;5222|全訊;6533|晶心科;6695|芯鼎;3661|世芯-KY;3339|泰谷;3529|力旺;6423|億而得;6643|M31;8054|安國;8227|巨有科技;8299|群聯;6786|芯測;6842|瑞宇;7707|益芯科;7796|擷發科;ARM|安謀;CDNS|益華,
2354,鴻準,F000,電腦及週邊設備,上游,金屬、塑膠模具;散熱片、風扇馬達、散熱模組;機殼,,2308|台達電;2317|鴻海;2324|仁寶;2331|精英;2353|宏碁;2356|英業達;2357|華碩;2362|藍天;2364|倫飛;2371|大同;2376|技嘉;2377|微星;2382|廣達;2430|燦坤;2483|百容;3005|神基;3231|緯創;4938|和碩;3213|茂訊;3709|鑫聯大投控
2354,鴻準,X000,其他,上游,其他電子產品,,
2356,英業達,F000,電腦及週邊設備,下游,筆記型電腦,2388|威盛;3709|鑫聯大投控;8096|擎亞;AMD|超微半導體;INTC|英特爾;6189|豐藝;6233|旺玖;NVDA|輝達;2459|敦吉;3038|全台;5315|光聯;6167|久正;000725.SZ|京東方;034220.KS|LG顯示;005930.KS|三星電子;005930.KS|三星顯示;2376|技嘉;3024|憶聲;3516|亞帝歐;5386|青雲,
2357,華碩,5300,人工智慧,上游,移動控制;智慧設備,,
2357,華碩,5800,運動科技,中游,穿戴式裝置,2459|敦吉;7558|群利科技;000725.SZ|京東方;034220.KS|LG顯示;005930.KS|三星電子;005930.KS|三星顯示;1593|祺驊;4558|寶緯;5348|正能量智能;2340|台亞;3227|原相;5493|三聯;6204|艾華;6679|鈺太;7725|列特博;7825|和亞智慧;6758.T|索尼;STM|意法半導體;2395|研華;7781|昕力資*,|迪卡儂;|FootLocker;|Intersport;6798|展逸;7725|列特博;|anytime fitness;|Basic-fit;|planet fitness;2324|仁寶;7558|群利科技;7781|昕力資*;|Classpass;|北京卡路里科技;|peloton;5348|正能量智能;7779|鍇睿國際;|Creative Artists Agency;|Excelsports Management;|Wasserman;7670|淞康
2357,華碩,F000,電腦及週邊設備,下游/上游,主機板;其他電腦及週邊設備;磁碟儲存系統;隨身碟、記憶卡讀卡機;硬碟機,2388|威盛;3709|鑫聯大投控;8096|擎亞;AMD|超微半導體;INTC|英特爾;6189|豐藝;6233|旺玖;NVDA|輝達;2459|敦吉;3038|全台;5315|光聯;6167|久正;000725.SZ|京東方;034220.KS|LG顯示;005930.KS|三星電子;005930.KS|三星顯示;2376|技嘉;3024|憶聲;3516|亞帝歐;5386|青雲,2308|台達電;2317|鴻海;2324|仁寶;2331|精英;2353|宏碁;2356|英業達;2362|藍天;2364|倫飛;2371|大同;2376|技嘉;2377|微星;2382|廣達;2430|燦坤;2483|百容;3005|神基;3231|緯創;4938|和碩;3213|茂訊;3709|鑫聯大投控;6140|訊達電腦
2357,華碩,I000,通信網路,下游,網路設備;無線通訊設備,2459|敦吉;3169|亞信;6470|宇智;8096|擎亞;7661|皓德盛科技;INTC|英特爾;005930.KS|三星電子;QCOM|高通;2344|華邦電;2408|南亞科;3260|威剛;4973|廣穎電通;8084|巨虹;8088|品安;7866|丹立;7655|依得科;MU|美光;000660.KS|SK海力士;2466|冠西電;2476|鉅祥,
2376,技嘉,F000,電腦及週邊設備,下游/上游,工業電腦;主機板;其他電腦及週邊設備;散熱片、風扇馬達、散熱模組;機殼,2388|威盛;3709|鑫聯大投控;8096|擎亞;AMD|超微半導體;INTC|英特爾;6189|豐藝;6233|旺玖;NVDA|輝達;2459|敦吉;3038|全台;5315|光聯;6167|久正;000725.SZ|京東方;034220.KS|LG顯示;005930.KS|三星電子;005930.KS|三星顯示;3024|憶聲;3516|亞帝歐;5386|青雲;2344|華邦電,2308|台達電;2317|鴻海;2324|仁寶;2331|精英;2353|宏碁;2356|英業達;2357|華碩;2362|藍天;2364|倫飛;2371|大同;2377|微星;2382|廣達;2430|燦坤;2483|百容;3005|神基;3231|緯創;4938|和碩;3213|茂訊;3709|鑫聯大投控;6140|訊達電腦
