位置,子分類,代號,名稱
上游,系統整合,2308,台達電
上游,系統整合,2453,凌群
上游,系統整合,2471,資通
上游,系統整合,2480,敦陽科
上游,系統整合,2495,普安
上游,系統整合,3029,零壹
上游,系統整合,4585,達明
上游,系統整合,6112,邁達特
上游,系統整合,6412,群電
上游,系統整合,6614,資拓宏宇
上游,系統整合,6658,聯策
上游,系統整合,6689,伊雲谷
上游,系統整合,8374,羅昇
上游,系統整合,3128,昇銳
上游,系統整合,3632,研勤
上游,系統整合,4953,緯軟
上游,系統整合,5209,新鼎
上游,系統整合,5351,鈺創
上游,系統整合,5371,中光電
上游,系統整合,5474,聰泰
上游,系統整合,6140,訊達電腦
上游,系統整合,6163,華電網
上游,系統整合,6697,東捷資訊
上游,系統整合,6739,竹陞科技
上游,系統整合,6752,叡揚
上游,系統整合,6811,宏碁資訊
上游,系統整合,6865,偉康科技
上游,系統整合,6870,騰雲
上游,系統整合,6910,德鴻
上游,系統整合,6925,意藍
上游,系統整合,6997,博弘
上游,系統整合,7547,碩網
上游,系統整合,7714,創泓科技
上游,系統整合,7747,昕奇雲端
上游,系統整合,8099,大世科
上游,系統整合,6938,藍新資訊
上游,系統整合,7737,凱鈿
上游,系統整合,7781,昕力資*
上游,系統整合,7825,和亞智慧
上游,系統整合,7826,極風雲創
上游,系統整合,7836,智生活
上游,系統整合,7841,經貿聯網
上游,系統整合,7868,聖育
上游,系統整合,7870,聯剛科技
上游,系統整合,7569,發條橘子
上游,系統整合,7587,環球睿視
上游,系統整合,7643,萬里遊
上游,系統整合,7675,卡德爾
上游,系統整合,,印福思
上游,系統整合,,勤達睿
上游,系統整合,,威普羅
上游,顧問諮詢,2308,台達電
上游,顧問諮詢,2480,敦陽科
上游,顧問諮詢,3029,零壹
上游,顧問諮詢,6112,邁達特
上游,顧問諮詢,6412,群電
上游,顧問諮詢,6614,資拓宏宇
上游,顧問諮詢,6689,伊雲谷
上游,顧問諮詢,5209,新鼎
上游,顧問諮詢,6697,東捷資訊
上游,顧問諮詢,6739,竹陞科技
上游,顧問諮詢,6752,叡揚
上游,顧問諮詢,6811,宏碁資訊
上游,顧問諮詢,6865,偉康科技
上游,顧問諮詢,6870,騰雲
上游,顧問諮詢,6910,德鴻
上游,顧問諮詢,6925,意藍
上游,顧問諮詢,6997,博弘
上游,顧問諮詢,7547,碩網
上游,顧問諮詢,7714,創泓科技
上游,顧問諮詢,6741,91APP*-KY
上游,顧問諮詢,7737,凱鈿
上游,顧問諮詢,7781,昕力資*
上游,顧問諮詢,7825,和亞智慧
上游,顧問諮詢,7826,極風雲創
上游,顧問諮詢,7841,經貿聯網
上游,顧問諮詢,7587,環球睿視
上游,顧問諮詢,7643,萬里遊
上游,顧問諮詢,,埃森哲
上游,顧問諮詢,,Deloitte
上游,顧問諮詢,,Deloitte Consulting LLP
上游,顧問諮詢,,勤達睿
上游,領域解決方案,2308,台達電
上游,領域解決方案,2352,佳世達
上游,領域解決方案,2388,威盛
上游,領域解決方案,2453,凌群
上游,領域解決方案,2498,宏達電
上游,領域解決方案,5203,訊連
上游,領域解決方案,6112,邁達特
上游,領域解決方案,6412,群電
上游,領域解決方案,6614,資拓宏宇
上游,領域解決方案,6689,伊雲谷
上游,領域解決方案,3297,杭特
上游,領域解決方案,4953,緯軟
上游,領域解決方案,5209,新鼎
上游,領域解決方案,5351,鈺創
上游,領域解決方案,5371,中光電
上游,領域解決方案,6163,華電網
上游,領域解決方案,6516,勤崴國際
上游,領域解決方案,6739,竹陞科技
上游,領域解決方案,6752,叡揚
上游,領域解決方案,6791,虎門科技
上游,領域解決方案,6811,宏碁資訊
上游,領域解決方案,6841,長佳智能
上游,領域解決方案,6865,偉康科技
上游,領域解決方案,6870,騰雲
上游,領域解決方案,6910,德鴻
上游,領域解決方案,6925,意藍
上游,領域解決方案,6997,博弘
上游,領域解決方案,7547,碩網
上游,領域解決方案,7714,創泓科技
上游,領域解決方案,7747,昕奇雲端
上游,領域解決方案,8099,大世科
上游,領域解決方案,6741,91APP*-KY
上游,領域解決方案,7724,諾亞克
上游,領域解決方案,7737,凱鈿
上游,領域解決方案,7781,昕力資*
上游,領域解決方案,7803,雲象科技
上游,領域解決方案,7822,倍利科
上游,領域解決方案,7825,和亞智慧
上游,領域解決方案,7826,極風雲創
上游,領域解決方案,7836,智生活
上游,領域解決方案,7839,達人網
上游,領域解決方案,7841,經貿聯網
上游,領域解決方案,7868,聖育
上游,領域解決方案,7870,聯剛科技
上游,領域解決方案,8298,威睿
上游,領域解決方案,7851,慧康生技*-KY
上游,領域解決方案,7541,富聯智科
上游,領域解決方案,7587,環球睿視
上游,領域解決方案,7643,萬里遊
上游,領域解決方案,7675,卡德爾
上游,領域解決方案,GOOGL,Google
上游,領域解決方案,MBLY,Mobileye
上游,領域解決方案,PLTR,Palantir
上游,智慧設備,2308,台達電
上游,智慧設備,2357,華碩
上游,智慧設備,4585,達明
上游,智慧設備,6412,群電
上游,智慧設備,6658,聯策
上游,智慧設備,8374,羅昇
上游,智慧設備,3297,杭特
上游,智慧設備,3455,由田
上游,智慧設備,5209,新鼎
上游,智慧設備,6163,華電網
上游,智慧設備,6263,普萊德
上游,智慧設備,6664,群翊
上游,智慧設備,6680,鑫創電子
上游,智慧設備,6739,竹陞科技
上游,智慧設備,6752,叡揚
上游,智慧設備,6865,偉康科技
上游,智慧設備,6870,騰雲
上游,智慧設備,6877,鏵友益
上游,智慧設備,6997,博弘
上游,智慧設備,6741,91APP*-KY
上游,智慧設備,7455,樺緯物聯
上游,智慧設備,7822,倍利科
上游,智慧設備,7825,和亞智慧
上游,智慧設備,7836,智生活
上游,智慧設備,7843,英柏得
上游,智慧設備,7870,聯剛科技
上游,智慧設備,7543,富宸
上游,智慧設備,7569,發條橘子
上游,智慧設備,7587,環球睿視
上游,智慧設備,7643,萬里遊
上游,智慧設備,7675,卡德爾
上游,智慧設備,AMZN,亞馬遜
上游,智慧設備,AAPL,蘋果
上游,智慧設備,002415.SZ,海康威視
上游,機器學習,2308,台達電
上游,機器學習,2388,威盛
上游,機器學習,2498,宏達電
上游,機器學習,3029,零壹
上游,機器學習,4585,達明
上游,機器學習,4952,凌通
上游,機器學習,6112,邁達特
上游,機器學習,6277,宏正
上游,機器學習,6412,群電
