位置,子分類,代號,名稱
上游,裝置/器材顯示器,2459,敦吉
上游,裝置/器材顯示器,7558,群利科技
上游,裝置/器材顯示器,000725.SZ,京東方
上游,裝置/器材顯示器,034220.KS,LG顯示
上游,裝置/器材顯示器,005930.KS,三星電子
上游,裝置/器材顯示器,005930.KS,三星顯示
上游,裝置/器材零組件,2459,敦吉
上游,裝置/器材零組件,1593,祺驊
上游,裝置/器材零組件,4558,寶緯
上游,裝置/器材零組件,5348,正能量智能
上游,裝置/器材零組件,7558,群利科技
上游,感測裝置,2340,台亞
上游,感測裝置,2459,敦吉
上游,感測裝置,3227,原相
上游,感測裝置,5493,三聯
上游,感測裝置,6204,艾華
上游,感測裝置,6679,鈺太
上游,感測裝置,7558,群利科技
上游,感測裝置,7725,列特博
上游,感測裝置,7825,和亞智慧
上游,感測裝置,005930.KS,三星電子
上游,感測裝置,6758.T,索尼
上游,感測裝置,STM,意法半導體
上游,軟體開發,2395,研華
上游,軟體開發,5348,正能量智能
上游,軟體開發,7558,群利科技
上游,軟體開發,7725,列特博
上游,軟體開發,7781,昕力資*
上游,軟體開發,,fitbit
中游,健身器材,1598,岱宇
中游,健身器材,1736,喬山
中游,健身器材,7558,群利科技
中游,健身器材,,lifefitness
中游,健身器材,,peloton
中游,健身器材,,technogym
中游,運動用品,2106,建大
中游,運動用品,4401,東隆興
中游,運動用品,5348,正能量智能
中游,運動用品,8071,能率網通
中游,運動用品,8924,大田
中游,運動用品,7558,群利科技
中游,運動用品,7811,民盛
中游,運動用品,7670,淞康
中游,運動用品,7697,微笑元素創意
中游,運動用品,ADDYY,Adidas
中游,運動用品,NKE,Nike
中游,運動用品,PUMSY,Puma
中游,穿戴式裝置,2324,仁寶
中游,穿戴式裝置,2357,華碩
中游,穿戴式裝置,2382,廣達
中游,穿戴式裝置,2392,正崴
中游,穿戴式裝置,2498,宏達電
中游,穿戴式裝置,3481,群創
中游,穿戴式裝置,5348,正能量智能
中游,穿戴式裝置,5457,宣德
中游,穿戴式裝置,7558,群利科技
中游,穿戴式裝置,7781,昕力資*
中游,穿戴式裝置,AAPL,蘋果
中游,穿戴式裝置,,fitbit
中游,穿戴式裝置,,Meta Quest
中游,通訊服務,5348,正能量智能
中游,通訊服務,7558,群利科技
中游,通訊服務,,中國移動
中游,通訊服務,VZ,威訊通訊
中游,數位內容,2498,宏達電
中游,數位內容,5348,正能量智能
中游,數位內容,6798,展逸
中游,數位內容,7558,群利科技
中游,數位內容,7779,鍇睿國際
中游,數位內容,7781,昕力資*
中游,數位內容,,Meta Quest
中游,數位內容,,WONDERCORE
下游,用品裝置零售/租賃,,迪卡儂
下游,用品裝置零售/租賃,,FootLocker
下游,用品裝置零售/租賃,,Intersport
下游,運動場館,6798,展逸
下游,運動場館,7725,列特博
下游,運動場館,,anytime fitness
下游,運動場館,,Basic-fit
下游,運動場館,,planet fitness
下游,健身平台/APP,2324,仁寶
下游,健身平台/APP,7558,群利科技
下游,健身平台/APP,7781,昕力資*
下游,健身平台/APP,,Classpass
下游,健身平台/APP,,北京卡路里科技
下游,健身平台/APP,,peloton
下游,運動服務/顧問,5348,正能量智能
下游,運動服務/顧問,6798,展逸
下游,運動服務/顧問,7725,列特博
下游,運動服務/顧問,7779,鍇睿國際
下游,運動服務/顧問,,Creative Artists Agency
下游,運動服務/顧問,,Excelsports Management
下游,運動服務/顧問,,Wasserman
下游,運動行銷/媒體,5348,正能量智能
下游,運動行銷/媒體,6798,展逸
下游,運動行銷/媒體,7779,鍇睿國際
下游,學校/職業運動,6798,展逸
下游,學校/職業運動,7670,淞康
下游,學校/職業運動,,MLB
下游,學校/職業運動,,NBA
下游,學校/職業運動,,NHL
