位置,子分類,代號,名稱
上游,物流倉儲服務,8454,富邦媒
上游,物流倉儲服務,2949,欣新網
上游,物流倉儲服務,3085,新零售
上游,物流倉儲服務,8044,網家
上游,物流倉儲服務,FDX,聯邦快遞
上游,物流倉儲服務,UPS,優比速公司
上游,資訊系統建置服務,2352,佳世達
上游,資訊系統建置服務,6183,關貿
上游,資訊系統建置服務,7721,微程式
上游,資訊系統建置服務,7765,中華資安
上游,資訊系統建置服務,2949,欣新網
上游,資訊系統建置服務,5478,智冠
上游,資訊系統建置服務,6590,普鴻
上游,資訊系統建置服務,6870,騰雲
上游,資訊系統建置服務,6910,德鴻
上游,資訊系統建置服務,6925,意藍
上游,資訊系統建置服務,7782,光速火箭
上游,資訊系統建置服務,8044,網家
上游,資訊系統建置服務,8284,三竹
上游,資訊系統建置服務,6741,91APP*-KY
上游,資訊系統建置服務,7781,昕力資*
上游,資訊系統建置服務,7819,精誠金融
上游,資訊系統建置服務,7839,達人網
上游,資訊系統建置服務,7841,經貿聯網
上游,資訊系統建置服務,7569,發條橘子
上游,資訊系統建置服務,7587,環球睿視
上游,資訊系統建置服務,7593,優思睿智科技
上游,資訊系統建置服務,7600,大麥網路
上游,資訊系統建置服務,7624,數位經濟
上游,資訊系統建置服務,7673,方鼎資訊
上游,資訊系統建置服務,AMZN,亞馬遜
上游,資訊系統建置服務,AMZN,亞馬遜網路服務公司
上游,資訊系統建置服務,GOOGL,Google
上游,資訊系統建置服務,,國際商業機器股份有限公司
上游,金流串接處理服務,6183,關貿
上游,金流串接處理服務,7721,微程式
上游,金流串接處理服務,7722,LINEPAY
上游,金流串接處理服務,2949,欣新網
上游,金流串接處理服務,3687,歐買尬
上游,金流串接處理服務,5478,智冠
上游,金流串接處理服務,6590,普鴻
上游,金流串接處理服務,6763,綠界科技*
上游,金流串接處理服務,6870,騰雲
上游,金流串接處理服務,8044,網家
上游,金流串接處理服務,6741,91APP*-KY
上游,金流串接處理服務,6984,ACpay
上游,金流串接處理服務,7745,紅陽
上游,金流串接處理服務,7819,精誠金融
上游,金流串接處理服務,7839,達人網
上游,金流串接處理服務,7841,經貿聯網
上游,金流串接處理服務,7624,數位經濟
上游,金流串接處理服務,7680,美家人力
上游,金流串接處理服務,AMZN,亞馬遜
上游,金流串接處理服務,,Ant Group
上游,金流串接處理服務,,First Data
上游,金流串接處理服務,PYPL,Paypal
上游,資料分析處理服務,2352,佳世達
上游,資料分析處理服務,6183,關貿
上游,資料分析處理服務,6614,資拓宏宇
上游,資料分析處理服務,7721,微程式
上游,資料分析處理服務,7765,中華資安
上游,資料分析處理服務,2949,欣新網
上游,資料分析處理服務,6590,普鴻
上游,資料分析處理服務,6870,騰雲
上游,資料分析處理服務,6925,意藍
上游,資料分析處理服務,8044,網家
上游,資料分析處理服務,8284,三竹
上游,資料分析處理服務,6741,91APP*-KY
上游,資料分析處理服務,7819,精誠金融
上游,資料分析處理服務,7826,極風雲創
上游,資料分析處理服務,7839,達人網
上游,資料分析處理服務,7841,經貿聯網
上游,資料分析處理服務,7587,環球睿視
上游,資料分析處理服務,AMZN,亞馬遜
上游,資料分析處理服務,,國際商業機器股份有限公司
上游,資料分析處理服務,MSFT,微軟
上游,行銷廣告服務,3130,一零四
上游,行銷廣告服務,7722,LINEPAY
上游,行銷廣告服務,2949,欣新網
